urlDrugName,highly_effective,benefitsReview
pristiq,Effective,"No side effects, other anti-depresson pills usually made me stop taking them because of the side effects, but Prestiq had none. I actually felt better after taking my pill, I was more bubbly and felt like my old self. I was also less aggravated and could think more clearly."
flonase,Effective,"I suffered with terrible allergies, itchy eyes, runny nose, sneezing and cough.  Using Flonase stopped all allergy symptoms within just a few days."
oracea,Not Effective,"Did not notice much difference in decrease of rosacea bumps or redness but the bumps seemed to increase briefly after I got off the Oracea. For approximately one week after discontinuing use. I used in conjunction with topical Finacea, which I applied twice a day, also prescribed for rosacea."
sotret,Effective,"It reduced my acne considerably and, after ceasing the treatment, I have never had acne as severe as before."
doxycycline,Effective,"My acne did heal. I took it consistently for about 2 months and my acne healed up and my skin looked really good after a long time, but when I forgot to refill it, I started breaking out again. So after taking it again for a couple of weeks my skin started to clear up. I have not taken Doxycline for a few months now and my skin is doing good, besides the occasional break out."
fluconazole,Not Effective,pill added nothing to the treatment process
skelaxin,Not Effective,None
noroxin,Effective,"elimination of all symptoms related to the urinary tract infection including frequency of urination, pain upon urination, and urgency of urination"
zoloft,Not Effective,stopped circular thinking/anxiety.  Also allowed me to keep focused on tasks and what was going on around me.  eliminated suicidal thoughts and allowed me to be more positive.  Improved my relationship with others by allowing me to not be self focused and pay attention to the other person
valtrex,Effective,soothing
prempro,Effective,"reduce menopause related issues and improve quality of life.  Hot flashes ceased, energy level increased, overall mood and memory retention were impacted in a positive way."
doxycycline,Not Effective,"I didn't know I was suppose to keep taking, so after one month, stop the medication & that's when the rosacea got worse & the eye involvement started.  I had to go to an eye doctor & get eye drops.  My dermatologist started me back on the doxycycline & said I had to take it ""forever""."
aldara,Not Effective,to help heal several facial scar revision surgical wounds to heal faster.
seroquel,Effective,"I am using this on an as needed basis. I only take it a couple times a month, which is why 50mg still works for me.  I may have to go to 100mg though. If I have been up for 20-25 hours straight and if I am still ""bouncing off the walls"" (manic), then this is great stuff to have.
For as needed manic episodes and severe insomnia--this is great stuff."
zomig,Effective,"I would sell my soul to the devil to obtain this miracle pill.  In a little as 30 minutes the intense pain and nausea are gone after one zomig.  I have had migraines since in my early teens where I was unable to function for as long as 48 hrs.  I have lost jobs, missed family outings and missed many opportunties due to migraine,  Zomig changed all of that and allowed me to take the medication and go to work and all the outings that I had missed.  I had a young family when I discovered Zomig and it was like a miracle was handed to me."
imitrex,Effective,"As soon as I felt a migraine coming on, I would feel very tired and feel dizzy at first and then the headache would come a little later. As soon as I could feel the headache I would take one tablet and within half an hour to an hour the headache would go and I would feel a lot better but still a little odd, a not quite 'here' feeling"
dexedrine,Not Effective,"weight loss right away.  I felt it working in brain right away, but lost the efficacy when I built my tolerance.  My MD gave me more and the same thing happened.

Meds don't cure add 100%, so now I take supplements."
imitrex,Effective,This drug has changed my life.  I have had severe headaches most of my adult life- Imitrex takes the headaches away.  The only downside is that the drug causes me to be a bit drousy.
zocor,Effective,On Zocor my total cholesterol was lowered below 200 and my LDL was lowered below 100. I currently take Zocor 40mg and could probably reduce the amount I take to 20mg if I would dedicate myself to a serious diet and exercise program. I am a nurse and work nights so this is difficult. Zocor has kept my cholesterol down and reduced my risk for cardiovascular problems.
